Record as mm/dd/yy,Record as military time in hh:mm. ex: 7 am is 07:00 and 7 pm is 19:00, Drop down list provided,Type same name as variety as well as date no space. Date goes yy/mm/dd So example SharkShock181210.,Enter your badge number, Record without % and two decimal places. So 15.32% is just 15.32 and 0 is 0.00. Variance is 10- or + actual reading.  10% is = to 0 variance,Record the # of days in the dry room as of the sample date.,if N/A just record as 0.,Always with two decimal places and no g. So 1 g is recorded as 1.00. or .5 g is 0.50,Always with two decimal places and no g. So 1 g is recorded as 1.00. or .5 g is 0.50,Record without % and two decimal places. So 46.32% is just 46.32 and 0 is 0.00.,Record in celsius,Record in seconds,Always with two decimal places and no g. So 1 g is recorded as 1.00. or .5 g is 0.50,"If there is an issue, select the issue category ",Select the issue type within the category,Record any necessary notes or comments,,,,
DATE,TIME ,VARIETY,HARVEST BATCH ID,EMPLOYEE BADGE #,VARIANCE FROM TARGET ,DAYS IN DRY ,DAYS IN CURE ,STARTING WEIGHT ,ENDING WEIGHT ,MOISTURE ,TESTING TEMP ,TESTING DURATION,WASTE WEIGHT ,ISSUE CATEGORY ,ISSUE TYPE ,Notes/Comments ,,,,
1/31/2019,8:10,Jilly Bean,JillyBean190129,470,39.49,2,0,1.79,0.88,49.49,120,16:19,1.79,None,,,,,,
1/31/2019,8:32,Cosmic Glue,CosmicGlue190129,470,45.85,2,0,1.61,0.61,55.85,120,15:23,1.61,None,,,,,,
1/31/2019,8:49,Space Candy,SpaceCandy190129,470,40.00,2,0,1.67,0.7,50.00,120,13:39,1.67,None,,,,,,
1/31/2019,9:06,Lemon Skunk,LemonSkunk190129,470,16.32,2,0,1.31,0.83,26.32,120,9:58,1.31,None,,,,,,
1/31/2019,9:18,Pennywise,Pennywise190128,470,9.12,3,0,1.15,0.85,19.12,120,8:57,1.15,None,,,,,,
1/31/2019,9:28,Jilly Bean,JillyBean190128,470,4.11,3,0,1.09,0.89,14.11,120,7:35,1.09,None,,,,,,
1/31/2019,9:38,Chem OG,ChemOG190128,470,24.30,3,0,1.39,0.83,34.30,120,11:33,1.39,None,,,,,,
1/31/2019,9:51,Locomotion #6,Locomotion#6190128,470,16.48,3,0,1.34,0.91,26.48,120,10:21,1.34,None,,,,,,
1/31/2019,10:03,Shark Shock,SharkShock190128,470,13.01,3,0,1.63,1.03,23.01,120,9:25,1.63,None,,,,,,
1/31/2019,10:14,Northern Lights,NorthernLights190128,470,22.61,3,0,1.52,0.87,32.61,120,11:13,1.52,None,,,,,,
1/31/2019,10:27,ACDC,ACDC190128,470,6.29,3,0,1.39,0.88,16.29,120,6:38,1.39,None,,,,,,
1/31/2019,10:57,Jesus OG,JesusOG190129 ,470,34.91,2,0,1.5,0.8,44.91,120,16:34,1.5,None,,Pink - CONTROL,,,,
