Date,Time,Variety,Harvest Batch ID,Employee Badge #,Variance from Target,Days in Dry,Days in Cure,Starting Weight,Ending Weight,Moisture %,Testing Temp. (C),Testing Time (Seconds),Waste Weight Reported in Metrc,extra,Issues Description
01/01/19,1:41 pm,Platinum Dosi,Platinumdosi181219,,1.31%,12,0,2.07 g,1.86 g,10.31%,120,5:23,2.07 g,,na
01/01/19,1:45 PM,Strawnana,Strawnana181219,,1.87%,12,0,1.47 g,1.31 g,10.87%,120,7 :44,1.47 g,,NA
01/01/19,1:56 PM,White papaya,Whitepapaya181219,,3.49%,12,0,1.57 g,1.34 g,12.49%,120,7:49,1.57 g,,NA
01/01/19,2:06 PM,Zkittles+Jelly Breath,Zkittles+Jelly Breath 181219,,2.66%,12,0,1.03 g,.91 g,11.66%,120,7:18,1.03 g,,NA
01/01/19,2:19 PM,One Trick Pony,Onetrickpony181218,,4.28%,13,0,1.53 g,1.22 g,13.28%,120,10:03,1.53 g,,NA
01/02/19,8:27 AM,TigerChampagne,TigerChampagne181211,,36.00%,18,4,1.1,0.93,9.86%,120,2:43,1.1,,
01/02/19,8:41 AM,WonkaBars,WonkaBars181211,,1%,18,4,1,0.89,10.50%,120,4:55,1,,
01/02/19,8:49 AM,It'sIt,It'sIt181211,,2.16%,18,4,1.13,0.87,11.66%,120,8:23,1.13,,
01/02/19,9:04 AM,Snowball,Snowball181211(F),,0.82%,13,9,0.88,0.81,11.82%,120,8:40,0.88,,
01/02/19,9:19 AM,BrassTacks,BrassTack181218,,2.12%,19,2,0.9,0.82,11.62%,120,6:30,0.91,,
01/02/19,9:37 AM,Guice,Guice181210,,0.51%,19,4,0.91,0.71,10.01%,120,3:03,0.91,,
01/02/19,9:58,LemonSkunk,LemonSkunk181218,,1.99%,15,NA,1.12,0.90,11.49%,120,9:59,1.12,,
01/02/19,10:12 AM,OneTrickPony,OneTrickPony181218,,2.66%,15,NA,1.37,1.17,12.16%,120,9:36,1.37,,
01/02/19,10:21 AM,TropicanaCookies,TropicanaCookies181219,,0.45%,14,NA,0.90,0.82,9.95%,120,3:40,0.90,,
01/02/19,10:38 AM,ManicFlavor,ManicFlavor181219,,2.12%,14,NA,0.79,0.61,11.62%,120,9:12,0.79,,
01/02/19,1:41 pm,Cannaradosi,Cannaradosi181211,,1.6,22,n/a,1.2,1.00,11.1,120,6:27,1.2,,
01/02/19,1:55 pm,Mumbles,Mumbles181218,,2.8,15,n/a,1.4,1.15,11.8,120,7:50,1.4,,
01/02/19,2:02 p,EmpireApples,EmpireApples181211,,0.7,22,n/a,1.1,0.97,9.7,120,3:29,1.1,,
01/02/19,2:40pm,PlatinumDosie,PlatinumDosie 181219,,2.2,14,n/a,1.77,1.54,11.29,120,11:06,1.77,,
01/02/19,2:54PM,BananaPuddintain,BananaPuddintain181219,,3.73%,14,n/a,1.79,1.46,12.73%,120,10:27,1.79,,
01/02/19,3:03PM,Strawnana,Strawnana181219,,2.91,14,n/a,1.71,1.44,11.91%,120,9:32,1.71,,
01/02/19,3:17PM,White papaya,Whitepapaya181219,,2.17,14,n/a,1.44,1.26,11.17,120,7:57,1.44,,
01/02/19,3:27PM,ForbiddenJelly,ForbiddenJelly181219,,1.89,14,n/a,1.36,1.14,10.89%,120,5:53,1.36,,
01/02/19,3:35PM,Papayauasca,Papayauasca 181219,,2.12,14,n/a,1.49,1.29,11.12,120,7:39,1.49,,
01/02/19,3:47PM,SourPapaya,SourPapaya 181219,,2.8,14,n/a,1.34,1.17,11.80,120,8:58,1.34,,
01/02/19,4:00PM,BrassTacks,BrassTacks 181219,,1.77,14,n/a,1.01,0.91,10.77%,120,4:25,1.01,,
01/02/19,4:13PM,Switchberry,Switchberry 181219,,3.09,14,n/a,1.81,1.62,12.09%,120,14:02,1.81,,
01/02/19,4:25PM,Jellybreath,Jellybreath 181219,,1.98,14,n/a,1.46,1.32,10.98%,120,7:10,1.46,,
01/02/19,4:34PM,Flavor Country,Flavor Country 181219,,2.86,14,n/a,1.62,1.46,11.86%,120,10:50,1.62,,
